set_id,price,brand,Betriebssystem,Speicherkapazitaet,Arbeitsspeicher,CPU-Taktfrequenz,Bilddiagonale,Aufloesung,Festplatte,Akkukapazitaet,Aufloesung Hauptkamera,SSD-Speicherkapazitaet,Grafik-Controller-Serie
10941614,247.27289,Asus,Windows 10 Home,32,2,1.4,25 cm (10"),1280x800,32,unknown,unknown,32,unknown
10481714,1218.0289,HP,Windows 10 Home,256,8,2.5,33 cm (13"),1920x1080,256,unknown,unknown,256,Intel HD Graphics 500
14269742,450.99667,Samsung,Android,32,3,1.8,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
13246890,1099.9497,Getac,Windows 10 Professional,64,4,1.6,20 cm (8"),1280x800,64,unknown,unknown,64,unknown
7140317,958.98083,HP,Windows 10 Professional 64-Bit,128,4,1.6,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
13849168,1542.7642,HP,Windows 8 Embedded,64,4,1.6,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
15118639,858.1475,Apple,unknown,256,unknown,unknown,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
7048799,159.9,TrekStor,Windows 8.1,32,2,1.8,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
13424994,450.8022,Umax,Android,16,1,1.2,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
4484605,502.52884,Apple,Windows XP Professional,16,unknown,unknown,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
1528465,260.59933,unknown,unknown,32,2,unknown,28 cm (11"),unknown,unknown,unknown,unknown,unknown,unknown
3258441,872.03754,Apple,Apple iOS,128,unknown,unknown,30 cm (12"),unknown,unknown,unknown,unknown,unknown,unknown
3817372,2163.921,MLMP2FD/A,Apple iOS,32,2,2.2,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
14522042,1585.1661,Apple,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
12226821,87.24564,Lenovo,Android,8,1,1.3,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
12338797,100.92614,Odys,Android,16,1,1.2,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
15698613,2646.8083,Xplore Technologies,Windows 7 Professional 64-Bit,128,unknown,unknown,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
14264063,419.75052,Apple,Apple iOS,64,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
782642,1356.2767,Microsoft,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
12094618,2509.964,Panasonic,Windows 10 Professional,128,4,1.1,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
12010800,451.31482,Samsung,Android,32,3,1.8,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
7329428,270.09668,Samsung,Android,16,unknown,unknown,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
13642892,65.57688,Alcatel,Android,8,1,1.3,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
6529344,473.81155,Apple,Apple iOS,16,unknown,unknown,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
4727891,151.64879,Samsung,Android,8,1.5,1.3,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
144562,342.5048,Lenovo,Android,32,2,unknown,30 cm (12"),1280x800,32,unknown,unknown,unknown,unknown
13825193,4555.349,Samsung,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
11376850,1115.1483,Microsoft,Windows 10 Professional 64-Bit,256,8,2.4,30 cm (12"),unknown,unknown,unknown,unknown,unknown,unknown
6795770,1808.6093,Lark,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
12323711,408.77576,Samsung,Android,unknown,1.5,1.5,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
14366860,839.14667,Lenovo,unknown,250,unknown,unknown,5 cm (2"),unknown,unknown,unknown,unknown,unknown,unknown
6988236,837.2127,Samsung,Windows 10 Professional,128,4,2.2,30 cm (12"),unknown,unknown,unknown,unknown,unknown,unknown
12082637,4011.6165,Apple,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2616858,81.81243,Huawei Technologies,Android,8,1,1.2,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
1718301,60584.953,Microsoft,Windows 10 Professional 64-Bit,256,8,2.4,30 cm (12"),2736x1824,256,unknown,unknown,256,Intel HD Graphics 500
13489498,1176.15,Lenovo,Windows 8.1 Pro 64-Bit,500,unknown,1.6,30 cm (12"),1920x1080,500,unknown,unknown,16,Intel HD Graphics 4000
13328377,281.4069,Acer,Android,32,1,1.3,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
8386444,549.7092,Apple,Apple iOS,128,unknown,unknown,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
9607692,627.9274,Unbekannt,unknown,128,unknown,unknown,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
1573062,4132.4995,Samsung,Android,16,2,1.2,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
16456961,934.73,Fujitsu,Windows 8.1,64,4,1.6,20 cm (8"),unknown,unknown,unknown,unknown,unknown,unknown
12095970,862.37384,Fujitsu,Windows 10 Professional,256,8,2.4,30 cm (12"),unknown,unknown,unknown,unknown,unknown,unknown
7420115,1048.3334,Asus,Windows 10 Home,256,8,1.2,30 cm (12"),2880x1920,256,unknown,unknown,256,Intel HD Graphics 600
3615966,1087.6204,Asus,Windows 10 Home,16,16,2.7,33 cm (13"),1920x1080,16,unknown,unknown,512,Intel HD Graphics 600
12572366,630.53314,Apple,unknown,128,unknown,unknown,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
5748309,324.06555,ProDVX,Android,8,1,1.6,36 cm (14"),unknown,unknown,unknown,unknown,unknown,unknown
8517327,352.2589,Apple,unknown,32,unknown,unknown,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
282768,3359.5493,Apple,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
6366642,664.2182,HP,Android,32,2,2.3,30 cm (12"),unknown,unknown,unknown,unknown,unknown,unknown
14904858,16646.809,Microsoft,Windows 10 Professional 64-Bit,128,4,0.9,30 cm (12"),2736x1824,128,unknown,unknown,128,Intel HD Graphics 500
8134727,1306.8257,HP,Windows 10 Home 64-Bit,256,8,2.2,33 cm (13"),2560x1440,256,unknown,unknown,256,Intel Iris Graphics 500
5978241,196.64668,Acer,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
3986926,4389.4756,Phoenix,Windows 7 Ultimate 64-Bit,unknown,unknown,1.9,33 cm (13"),unknown,unknown,unknown,unknown,unknown,unknown
4362281,137.99312,Acer,Android,16,1,1.3,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
16584981,2943.9712,Apple,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
12652027,288.02826,Apple,Apple iOS,32,1,1.3,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
15466537,74.93109,i.onik,Android,8,1,unknown,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
13698492,3217.398,Apple,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1179448,662.5017,Samsung,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
5609210,127.039986,Hannspree,Android,8,1,1.3,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
12680976,789.07227,Lenovo,Android,16,1,1.3,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
9735680,161.35966,Lenovo,Android,16,2,1,20 cm (8"),unknown,unknown,unknown,unknown,unknown,unknown
6702346,2964.2527,Apple,MacOS X,128,2,2.2,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
5508631,33527.78,Lenovo,Windows 10 Professional,256,8,1.2,30 cm (12"),2160x1440,unknown,unknown,unknown,unknown,unknown
12282985,481.07632,Apple,Apple iOS,128,1,1.3,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
6478131,88.017235,HP,Android,8,1,1.3,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
71349,1324.555,Getac,Android,16,1,1,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
8744194,2250.5044,Microsoft,Windows 10 Professional 64-Bit,256,8,2.6,33 cm (13"),3000x2000,256,unknown,unknown,256,NVIDIA GeForce GTX 900
13364868,5883.7974,Xplore Technologies,Windows 8.1 Pro 64-Bit,256,unknown,unknown,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
16361310,442.04996,HTC,Android,16,1,1.5,18 cm (7"),unknown,unknown,4000-4999 mAh,1,unknown,unknown
13834925,505.6587,Apple,Apple iOS,16,1,1.3,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
6527571,380.68112,Asus,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
7223135,6272.8096,Microsoft,Windows 10 Professional 64-Bit,256,8,2.2,8 cm (3"),unknown,unknown,unknown,unknown,unknown,unknown
10620482,2855.245,Apple,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
11070267,994.8361,Samsung,Windows 10 Professional,128,4,2.2,30 cm (12"),2160x1440,128,unknown,unknown,unknown,Intel HD Graphics 500
9174584,1916.9796,Panasonic,Windows 10 Professional,128,4,1.4,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
1032606,375.3522,Vision,Android,8,0.5,1.2,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
9639286,1076.7155,Microsoft,Windows 10 Professional,256,8,2.4,30 cm (12"),unknown,unknown,unknown,unknown,unknown,unknown
9526691,147.95,Asus,Android,16,2,1.2,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
9441064,7081.033,Samsung,Android,16,unknown,1.2,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
9546282,782.2058,Apple,unknown,256,unknown,unknown,30 cm (12"),unknown,unknown,unknown,unknown,unknown,unknown
2263614,151.79285,Thomson,Windows 8.1,32,1,1.3,unknown,unknown,unknown,unknown,unknown,unknown,unknown
3123648,333.9511,Samsung,Android,32,3,1.8,20 cm (8"),unknown,unknown,unknown,unknown,unknown,unknown
12926858,123.175995,Samsung,Android,8,1,1,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
14052802,1542.2284,Getac,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
676026,6460.041,Samsung,Android,32,3,1.8,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
14547378,161.23358,Acer,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
4131007,1567.3265,Getac,unknown,128,4,1.6,20 cm (8"),1200x800,128,unknown,unknown,128,unknown
6791397,1484.0917,Getac,Windows 10 Professional,64,4,1.6,20 cm (8"),1280x800,64,unknown,unknown,64,unknown
3539111,71.09689,Mpman,Android,16,1,1.2,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
10178522,241.08649,Acer,Android,16,1,1.3,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
10153469,132.2549,TrekStor,Android,8,1,1.2,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
9832802,620.15,Samsung,Android,32,3,1.9,30 cm (12"),2560x1600,unknown,unknown,unknown,unknown,unknown
2924945,100.0408,Hannspree,Android,8,unknown,1.3,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
13597904,5677.531,Asus,Windows 10 Home,128,4,1.4,25 cm (10"),1280x800,128,unknown,unknown,128,unknown
5407335,601.21405,Apple,Apple iOS,128,unknown,unknown,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
15061258,4528.1978,Lenovo,Android,unknown,2,1.3,20 cm (8"),unknown,unknown,unknown,unknown,unknown,unknown
8332404,1116.9333,HP,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
16353580,72.369,Asus,Android,8,1,1.2,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
12631009,604.4681,Lenovo,Windows 10 Home 64-Bit,1000,8,2.5,36 cm (14"),1920x1080,1000,unknown,unknown,unknown,Intel HD Graphics 600
10866993,232.14383,Odys,Windows 10 Home,32,2,1.4,unknown,768x1366,32,unknown,unknown,unknown,Intel HD Graphics 400
9884019,331.94446,Lenovo,Windows 10 Home,unknown,4,2,38 cm (15"),1366x768,unknown,unknown,unknown,unknown,Intel HD Graphics 500
1583121,213.35841,Xoro,Android,16,unknown,1.3,61 cm (24"),unknown,unknown,unknown,unknown,unknown,unknown
7302329,215.21751,Asus,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
780989,145.14934,Samsung,Android,8,1.5,1.3,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
2301458,322.16556,Asus,Windows 10 Home,64,2,1.5,25 cm (10"),1920x1080,64,unknown,unknown,unknown,unknown
1467026,62.369335,Prestigio,Android,4,unknown,1,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
14206200,192.14484,Hamlet,Android,16,1,1.6,unknown,unknown,unknown,unknown,unknown,unknown,unknown
7851036,236.05713,Acer,Android,16,1,1.3,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
11789899,530.99506,Apple,Apple iOS,64,unknown,unknown,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
13375421,221.45537,Acer,Windows 10 Home,64,2,1.3,25 cm (10"),1280x800,64,unknown,unknown,unknown,unknown
5101509,596.1568,Samsung,Android,8,1.5,1.3,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
6336913,162.96153,Thomson,Windows 8.1,32,2,1.3,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
6413442,7650.6226,Lenovo,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
5858606,95.32072,Captiva,Android,16,2,1.6,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
14124000,875.5499,Sony,Windows 8 64-Bit,500,4,1.6,38 cm (15"),1920x1080,500,unknown,unknown,unknown,Intel HD Graphics 4000
12369112,1487.02,Panasonic,Android,32,2,1.7,13 cm (5"),unknown,unknown,unknown,unknown,unknown,unknown
9485696,2700.3408,Modecom,Android,16,2,1.6,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
3540923,104.267944,Hannspree,unknown,unknown,unknown,unknown,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
2397975,888.98975,Unbekannt,unknown,256,unknown,unknown,30 cm (12"),unknown,unknown,unknown,unknown,unknown,unknown
6184314,1103.31,Samsung,Windows 8 Pro 64-Bit,128,4,1.7,28 cm (11"),1920x1080,128,unknown,unknown,128,Intel HD Graphics 4000
9509936,199.16978,Samsung,Android,16,2,1.6,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
7132742,2699.6013,Getac,Windows 10 Professional 64-Bit,128,8,2.3,28 cm (11"),1366x768,128,unknown,unknown,128,Intel HD Graphics 500
7452690,437.4,Sony,Android,32,2,1.5,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
9738771,1122.2987,Apple,unknown,128,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2752719,360.76035,Lenovo,Android,64,4,1.4,unknown,unknown,unknown,unknown,unknown,unknown,unknown
15379056,20344.164,Fujitsu,Windows 10 Professional,256,unknown,3,30 cm (12"),unknown,unknown,unknown,unknown,unknown,unknown
4433180,4122.2046,Lenovo,Android,unknown,unknown,1.3,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
1526557,76.44456,Mpman,Android,16,1,1.3,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
5582632,38.642628,Danew,Android,4,0.5,1.5,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
14560251,1189.8323,Microsoft,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
12930263,184.63618,TrekStor,Android,16,1,1.1,33 cm (13"),unknown,unknown,unknown,unknown,unknown,unknown
7027138,443.79822,Samsung,Android,32,3,1.9,20 cm (8"),unknown,unknown,unknown,unknown,unknown,unknown
6437438,4797.093,Lenovo,Android,64,4,2.2,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
8340061,137.53673,Unbekannt,Android,16,1,1.3,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
3881745,8255.133,Apple,unknown,128,2,1.5,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
10150393,459.40518,Apple,unknown,32,unknown,unknown,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
6757580,509.27783,Microsoft,Windows 8.1 Pro 64-Bit,64,4,1.6,25 cm (10"),1920x1280,64,unknown,unknown,64,unknown
15841023,562.5057,HP,Android,32,2,2.3,unknown,unknown,unknown,unknown,unknown,unknown,unknown
7418726,893.22894,Lenovo,Windows 10 Home 64-Bit,256,8,2.7,36 cm (14"),1920x1080,256,unknown,unknown,256,NVIDIA GeForce GTX 900
2782572,44573.266,HP,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
6400155,2575.6929,Apple,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2797678,3497.6528,Lenovo,Android,unknown,2,1,20 cm (8"),unknown,unknown,unknown,unknown,unknown,unknown
14884734,114.975334,Samsung,Android,8,1.5,1.3,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
12184460,747.9435,Apple,unknown,128,unknown,unknown,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
4668958,346.86084,Apple,unknown,16,2,1.5,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1656616,1622.445,Winmate,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
11481453,479.28223,Apple,unknown,128,unknown,unknown,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
6066260,3675.036,Phoenix Contact,Windows 7 Ultimate 64-Bit,unknown,unknown,1.6,33 cm (13"),unknown,unknown,unknown,unknown,unknown,unknown
4227022,175.36435,Tarox,Windows 10 Professional,64,2,unknown,25 cm (10"),800x1280,unknown,unknown,unknown,unknown,unknown
1477267,99.628746,Archos,Android,64,1,1.3,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
7102063,702.59766,Apple,unknown,128,unknown,unknown,30 cm (12"),unknown,unknown,unknown,unknown,unknown,unknown
2215847,5058.055,Lenovo,Android,unknown,2,1.3,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
13215571,400.73526,Lenovo,Android,64,4,1.4,25 cm (10"),1920x1200,64,unknown,unknown,64,Intel HD Graphics 400
6205572,260.87833,Apple,unknown,32,unknown,unknown,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
10709286,167.10931,unknown,unknown,32,2,unknown,28 cm (11"),unknown,unknown,unknown,unknown,unknown,unknown
11674588,381.15222,Samsung,Android,32,3,1.9,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
13075778,66.956,Estar,unknown,unknown,8,1.2,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
12183119,340.93668,Apple,unknown,16,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
3445528,331.67224,Apple,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
4027609,806.31494,Apple,unknown,32,unknown,unknown,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
6511036,3555.9065,Apple,Apple iOS,256,2,2.2,unknown,unknown,unknown,unknown,unknown,unknown,unknown
7102060,92.466675,AQISTON Digital,Android,4,1,1.2,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
3981185,1494.914,Samsung,Android,32,3,1.8,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
12089923,139.88103,Axdia,Android,8,1,1.2,unknown,unknown,unknown,unknown,unknown,unknown,unknown
14875816,9441.087,Asus,unknown,128,4,1.4,25 cm (10"),1280x800,128,unknown,unknown,unknown,unknown
12231376,351.70502,Apple,Windows XP Home,16,1,1.3,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
11524237,870.09753,Asus,Windows 10 Home 64-Bit,256,8,3.1,33 cm (13"),1920x1080,256,unknown,unknown,256,Intel HD Graphics 600
15718610,540.20557,Apple,Apple iOS,128,unknown,unknown,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
2121630,238.04333,Samsung,Android,16,2,1.6,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
14276107,411.59396,Samsung,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
3138726,24650.334,unknown,Android,unknown,1,1.2,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
5009203,545.6885,Apple,Apple iOS,64,unknown,unknown,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
3022355,145.32133,Asus,unknown,32,2,1.5,25 cm (10"),1366x768,32,unknown,unknown,unknown,unknown
4811489,53.258953,Archos,Android,16,1,1.3,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
1255437,366.1706,Asus,Windows 10 Home 64-Bit,128,2,1.4,25 cm (10"),1280x800,128,unknown,unknown,128,unknown
12405355,2606.1062,Apple,unknown,128,unknown,unknown,30 cm (12"),unknown,unknown,unknown,unknown,unknown,unknown
11304322,2214.5496,Panasonic,Windows 7 Professional,128,4,1.1,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
12356645,430.91,Samsung,Android,32,3,1.3,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
13227585,99.483986,Hamlet,Android,8,1,1.6,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
9568307,1178.6434,Acer,Android,32,unknown,2.4,20 cm (8"),unknown,unknown,unknown,unknown,unknown,unknown
10381782,465.6211,Apple,MacOS X,32,2,unknown,20 cm (8"),unknown,unknown,unknown,unknown,unknown,unknown
9863956,165.55452,Acer,Android,16,1,1.3,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
6265242,228.95193,Asus,Windows 10 Professional,32,2,1.4,25 cm (10"),1280x800,32,unknown,unknown,unknown,Intel HD Graphics 400
5629880,416.38,Samsung,Android,32,3,1.8,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
409727,1693.9268,Getac,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
4694409,4556.092,Apple,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
12278841,1721.6266,unknown,Android,unknown,unknown,1.2,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
3823035,94.56,Acer,Android,16,1,1.3,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
10714605,572.3229,Apple,Apple iOS,64,unknown,unknown,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
13149763,1474.0,Microsoft,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
5150506,324.16556,Samsung,Android,32,3,1.9,20 cm (8"),unknown,unknown,unknown,unknown,unknown,unknown
13149766,1245.0,Microsoft,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
13149770,1059.0,Microsoft,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
4049804,847.46155,HP,Windows 8.1 Pro 64-Bit,64,4,1.6,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
15130187,276.31665,Asus,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
12317944,528.51935,Samsung,Android,8,1.5,1.3,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
4473282,251.53369,Telekom,Android,16,2,1.6,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
2648470,365.40335,Hannspree,Android,8,8,1.6,58 cm (23"),unknown,unknown,unknown,unknown,unknown,unknown
3368193,1329.7526,Getac,Android,16,1,1,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
13754209,467.82477,Apple,unknown,64,unknown,unknown,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
10443534,1003.4278,Microsoft,unknown,128,8,unknown,30 cm (12"),2736x1824,unknown,unknown,unknown,unknown,unknown
13849939,343.50778,Samsung,Android,32,3,1.8,20 cm (8"),unknown,unknown,unknown,unknown,unknown,unknown
9474945,525.69653,Dell,unknown,500,4,unknown,33 cm (13"),1920x1080,500,unknown,unknown,unknown,Intel HD Graphics 500
11365147,1762.2479,HP,Windows 8.1 Pro 64-Bit,256,8,2.6,33 cm (13"),2560x1440,256,unknown,unknown,256,Intel HD Graphics 5000
9128503,1178.4484,Lenovo,Windows 10 Home,256,8,1.2,30 cm (12"),1920x1080,256,unknown,unknown,256,Intel HD Graphics 500
2723333,104.49198,Asus,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
11523742,235.03003,Lenovo,Windows 10 Professional,32,2,1.4,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
14744406,13235.131,Fujitsu,unknown,256,unknown,unknown,30 cm (12"),unknown,unknown,unknown,unknown,unknown,unknown
8126336,14964.582,Asus,Windows 10 Professional,512,8,2.5,30 cm (12"),unknown,512,unknown,unknown,512,Intel HD Graphics 500
13590449,198.92001,Asus,Android,16,2,1.2,20 cm (8"),unknown,unknown,unknown,unknown,unknown,unknown
9272074,145.81667,Asus,Android,16,2,1.3,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
14721786,140.73067,Lenovo,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1928030,73.10687,Thomson,unknown,16,1,1.3,20 cm (8"),unknown,unknown,unknown,unknown,unknown,unknown
12405380,535.0,Asus,Android,64,1,1.7,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
10443529,1607.875,Microsoft,unknown,256,8,unknown,30 cm (12"),2736x1824,unknown,unknown,unknown,unknown,unknown
3171336,1073.4609,Fujitsu,Windows 8.1 Pro 64-Bit,128,4,1.6,20 cm (8"),1920x1200,128,unknown,unknown,128,unknown
4379161,583.2533,Apple,unknown,32,unknown,unknown,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
10709227,267.25735,unknown,unknown,32,2,unknown,28 cm (11"),unknown,unknown,unknown,unknown,unknown,unknown
2444604,260.57626,HP,Windows 10 Home 64-Bit,32,2,1.4,25 cm (10"),1280x800,32,unknown,unknown,32,Intel HD Graphics 400
2896512,7985.4175,Lenovo,Android,16,2,1.3,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
12892219,253.67075,Acer,Android,16,1,1.3,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
15501500,201.97664,Samsung,Android,unknown,1,1.6,unknown,unknown,unknown,unknown,unknown,unknown,unknown
12207680,795.50336,Lenovo,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
7035604,430.13226,Apple,unknown,64,unknown,unknown,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
14567790,935.369,Microsoft,unknown,128,8,unknown,30 cm (12"),unknown,unknown,unknown,unknown,unknown,unknown
6242584,205.26836,Samsung,Android,16,unknown,1,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
